ctry;fh09;polity09;gini;fparl08;mena;lati;cari;east;sovi;afri;corr0509
Lebanon;0.04 ;0.07 ;;0.50 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Lesotho;0.03 ;0.08 ;0.53 ;0.54 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Liberia;0.04 ;0.06 ;0.53 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Libya;0.07 ;(0.07);;0.48 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Liechtenstein;0.01 ;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Lithuania;0.01 ;0.10 ;0.36 ;0.53 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
Luxembourg;0.01 ;;;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.02 
"Macao SAR, China";;;;0.51 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 
"Macedonia, FYR";0.03 ;0.09 ;0.43 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;(0.00)
Madagascar;0.05 ;0.00 ;0.47 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Malawi;0.04 ;0.06 ;0.39 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Malaysia;0.04 ;0.06 ;0.38 ;0.49 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 
Maldives;0.04 ;;0.37 ;0.48 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Mali;0.03 ;0.07 ;0.39 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Malta;0.01 ;;;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Marshall Islands;0.01 ;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
Mauritania;0.06 ;(0.02);0.39 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Mauritius;0.02 ;0.10 ;;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.01 
Mayotte;;;;0.48 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;
